ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Короткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Мета: gold","Мета: _gold","Мета: silver","Мета: _silver","Мета: platinum","Мета: _platinum","Мета: palladium","Мета: _palladium","Мета: typecount","Мета: _typecount","Мета: fixprice","Мета: _fixprice"
1217,simple,,"Д1-14/1  (Установка для поверки аттенюаторов)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,АТТЕНЮАТОР,,,,,,,,,,,,0,0,field_5f300bf892dd9,0,field_5f300c0592dda,0,field_5f300c0c92ddb,0,field_5f300c1492ddc,2,field_5f3241837673f,4000,field_5f61bb06434a8
1218,simple,,"ДК1-12  (7 блоков)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,АТТЕНЮАТОР,,,,,,,,,,,,0,0,field_5f300bf892dd9,0,field_5f300c0592dda,0,field_5f300c0c92ddb,0,field_5f300c1492ddc,2,field_5f3241837673f,5000,field_5f61bb06434a8
1219,simple,,ДК1-15,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,АТТЕНЮАТОР,,,,,,,,,,,,0,0,field_5f300bf892dd9,0,field_5f300c0592dda,0,field_5f300c0c92ddb,0,field_5f300c1492ddc,2,field_5f3241837673f,5000,field_5f61bb06434a8
1220,simple,,ДК1-16,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,АТТЕНЮАТОР,,,,,,,,,,,,0,0,field_5f300bf892dd9,0,field_5f300c0592dda,0,field_5f300c0c92ddb,0,field_5f300c1492ddc,2,field_5f3241837673f,16000,field_5f61bb06434a8
