Имя,Опубликован,Категории,"Мета: gold","Мета: _gold","Мета: silver","Мета: _silver","Мета: platinum","Мета: _platinum","Мета: palladium","Мета: _palladium","Мета: typecount","Мета: _typecount","Мета: fixprice","Мета: _fixprice"
"Д1-14/1  (Установка для поверки аттенюаторов)",1,АТТЕНЮАТОР,0,field_5f300bf892dd9,0,field_5f300c0592dda,0,field_5f300c0c92ddb,0,field_5f300c1492ddc,2,field_5f3241837673f,4000,field_5f61bb06434a8
"ДК1-12  (7 блоков)",1,АТТЕНЮАТОР,0,field_5f300bf892dd9,0,field_5f300c0592dda,0,field_5f300c0c92ddb,0,field_5f300c1492ddc,2,field_5f3241837673f,5000,field_5f61bb06434a8
ДК1-15,1,АТТЕНЮАТОР,0,field_5f300bf892dd9,0,field_5f300c0592dda,0,field_5f300c0c92ddb,0,field_5f300c1492ddc,2,field_5f3241837673f,5000,field_5f61bb06434a8
ДК1-16,1,АТТЕНЮАТОР,0,field_5f300bf892dd9,0,field_5f300c0592dda,0,field_5f300c0c92ddb,0,field_5f300c1492ddc,2,field_5f3241837673f,16000,field_5f61bb06434a8
